biwords,frequency
and the,38359
of the,38224
it was,37688
this place,30965
it s,26997
the best,25207
and i,24563
the food,23642
in the,23370
on the,22870
if you,20367
to the,18793
in vega,16842
i ve,16669
at the,16509
a great,16488
had the,16284
with a,16189
i had,16001
for a,15914
for the,15775
i was,15748
we were,15720
is a,15462
this is,14992
we had,14526
one of,14338
i have,14228
i m,14217
had a,14153
and it,14130
with the,13835
was a,13570
the servic,11807
is the,11411
i love,11386
and a,10811
servic was,10667
food was,10645
from the,10598
las vega,10142
it is,10133
have a,10070
place is,9862
friend and,9821
you can,9611
was veri,9488
order the,9469
in a,9424
the bar,9419
i would,9232
they have,9178
was the,9171
the strip,9094
go to,9006
as well,8858
was great,8821
place to,8816
to be,8815
food and,8784
food is,8683
my favorit,8666
a littl,8163
love the,8147
be back,8076
all the,8016
and they,7907
on a,7901
want to,7871
to go,7820
and we,7776
was so,7654
the menu,7636
to get,7490
but i,7466
you re,7465
will be,7416
the staff,7390
was amaz,7368
come back,7362
they were,7360
our server,7175
i will,6970
high recommend,6932
a few,6920
time i,6755
to tri,6616
which was,6491
s a,6405
you are,6346
ever had,6261
a good,6212
that i,6202
but the,6177
i am,6156
but it,6124
of my,6083
the restaur,6079
the place,6069
love this,6047
lot of,6045
my friend,6011
have to,5853
will definit,5837
i do,5828
happi hour,5828
we order,5693
out of,5524
this was,5458
tri the,5379
i order,5378
great servic,5363
i did,5305
my husband,5264
servic and,5225
servic is,5223
great food,5172
by the,5078
so i,5060
a lot,5054
was delici,5048
when i,5039
is great,5020
ve ever,5010
i could,4916
the bartend,4908
they are,4904
a nice,4885
in las,4863
a bit,4859
got the,4858
there is,4814
we got,4809
which is,4806
the drink,4806
to vega,4781
we will,4725
first time,4701
is amaz,4672
have been,4626
come here,4614
a must,4564
veri good,4500
here for,4476
to eat,4469
there was,4462
ve been,4423
so good,4389
to have,4376
of a,4348
drink and,4343
you have,4342
that was,4273
thank you,4269
definit be,4258
i think,4240
and my,4240
and was,4219
that s,4201
go back,4185
love it,4182
all of,4168
i can,4144
off the,4132
i got,4061
in town,4047
of us,4042
next time,4038
in my,4030
for my,4028
to make,4012
get a,3960
decid to,3956
this restaur,3944
worth it,3925
great place,3872
the atmospher,3855
when we,3855
he was,3850
is veri,3835
everyth was,3829
had to,3819
i ca,3819
the price,3814
so we,3805
we did,3797
recommend this,3788
look for,3779
nice and,3777
you want,3773
and you,3749
i went,3729
the first,3714
the most,3679
make sure,3676
to a,3674
great and,3673
back to,3660
realli good,3658
to come,3648
ve had,3638
is alway,3621
time and,3607
was awesom,3591
get the,3550
my wife,3545
NOT_wait NOT_to,3545
some of,3544
ask for,3542
there are,3526
and had,3505
a veri,3503
you get,3501
that the,3488
the chicken,3480
everi time,3475
i ll,3462
we went,3455
came here,3449
time we,3447
delici and,3441
about the,3440
so much,3435
was perfect,3411
there s,3411
like a,3408
you will,3381
when you,3369
was excel,3358
good and,3353
as a,3335
be a,3329
with my,3326
for me,3313
the onli,3311
ca NOT_wait,3308
enjoy the,3249
been to,3239
that we,3235
the steak,3221
to see,3218
she was,3216
have ever,3211
and servic,3209
staff is,3207
the other,3202
has a,3194
is so,3190
of our,3175
come to,3145
was realli,3144
order a,3114
vega and,3113
a coupl,3102
like the,3091
here and,3077
was good,3072
and veri,3066
worth the,3061
the tabl,3060
and he,3055
veri friend,3012
custom servic,3012
i like,3007
of this,2997
such a,2995
and great,2988
that is,2985
an amaz,2925
place was,2924
staff was,2919
and have,2898
as the,2889
amaz and,2886
abl to,2884
we have,2884
to this,2874
you do,2866
vega i,2865
bar and,2864
our waiter,2857
it a,2853
for our,2850
drink are,2849
and friend,2839
at a,2837
to say,2825
they had,2812
care of,2803
veri nice,2802
i d,2795
place for,2791
i high,2770
is my,2768
the server,2756
server was,2747
we are,2739
amaz the,2717
would be,2715
to our,2693
attent and,2685
i want,2683
and drink,2679
the wait,2675
is awesom,2672
for dinner,2671
restaur in,2668
that they,2657
is one,2636
the way,2630
the same,2624
of cours,2617
that it,2616
if i,2608
on top,2604
the night,2602
we also,2594
kind of,2589
good i,2583
was just,2582
view of,2558
were veri,2546
food i,2529
i realli,2522
die for,2519
it the,2517
do note,2515
to die,2514
NOT_on NOT_the,2504
the manag,2504
the pool,2498
went to,2497
the room,2497
got a,2494
side of,2484
was also,2478
you ll,2472
and delici,2469
the time,2458
tri to,2450
to find,2443
end up,2430
was our,2430
great time,2429
recommend the,2421
i came,2416
the burger,2414
of their,2412
on my,2407
my boyfriend,2403
good the,2398
and this,2398
had in,2389
the chef,2388
fresh and,2387
ll be,2387
that you,2386
on point,2383
place i,2383
NOT_of NOT_the,2372
what a,2371
what i,2360
burger and,2360
way to,2357
need to,2355
came out,2338
at least,2332
are a,2321
top notch,2320
the music,2319
flavor and,2317
make it,2316
was super,2311
over the,2311
they do,2305
best i,2302
the perfect,2284
would definit,2284
walk in,2282
to order,2279
more than,2276
they also,2276
a place,2275
the whole,2271
the next,2252
the decor,2249
as i,2247
top of,2246
to take,2245
are the,2243
i also,2239
there were,2238
we came,2237
for us,2235
and chees,2220
out the,2220
was my,2209
definit come,2206
delici the,2206
stay at,2201
up to,2197
drink were,2186
hand down,2185
and she,2182
and food,2178
came with,2177
restaur is,2177
well as,2177
becaus it,2172
but we,2169
by far,2165
but they,2160
amaz i,2160
NOT_to NOT_go,2160
good food,2155
great the,2153
s the,2152
veri attent,2152
feel like,2146
the view,2137
back for,2129
which i,2129
menu and,2127
here is,2122
we love,2121
and our,2116
me and,2112
it and,2108
select of,2101
the meal,2097
check in,2090
for sure,2090
in your,2088
to my,2085
have the,2083
my first,2083
i know,2079
the fri,2076
for lunch,2075
a tabl,2068
place and,2067
our tabl,2052
into the,2050
been here,2048
in and,2047
NOT_this NOT_place,2037
was on,2035
is that,2034
was fantast,2031
i alway,2030
the side,2025
night and,2021
time to,2021
plenti of,2015
i just,2014
the club,2007
and attent,2006
of it,2001
husband and,2000
are in,1999
and made,1995
a wonder,1994
ice cream,1992
becaus i,1992
it i,1986
amount of,1984
for dessert,1983
so you,1981
tri it,1977
great experi,1976
make a,1976
we ve,1973
at this,1972
group of,1970
about this,1970
start with,1963
they re,1962
out to,1961
definit recommend,1952
the waiter,1946
were so,1945
to check,1944
we could,1940
the hotel,1926
dine experi,1925
the top,1918
sure to,1917
delici i,1914
and there,1913
us and,1909
check out,1905
of all,1901
pan roast,1900
on our,1895
it out,1892
and all,1892
so it,1892
the lobster,1883
and that,1882
better than,1882
atmospher is,1881
a drink,1876
the flavor,1870
and then,1869
to perfect,1864
have had,1861
stop by,1859
even though,1852
i recommend,1850
vega the,1850
steak and,1845
were great,1843
was in,1842
but this,1835
a huge,1826
and were,1824
must tri,1823
eat here,1822
the owner,1820
also had,1809
just a,1805
enough to,1803
m in,1802
a friend,1799
we decid,1799
had an,1796
back and,1795
place in,1794
are veri,1794
and so,1793
would have,1793
i tri,1787
our waitress,1784
as we,1783
a long,1782
last night,1781
menu is,1776
the day,1770
it to,1766
and enjoy,1765
trip to,1759
next to,1756
part of,1755
and even,1749
price are,1746
the entir,1744
great atmospher,1741
food the,1740
as it,1740
were all,1737
come with,1731
were amaz,1730
i thought,1728
to do,1725
a small,1723
were the,1713
gave us,1711
the ambianc,1708
is an,1707
is realli,1694
can get,1693
back again,1687
it has,1685
the casino,1681
not t,1678
along with,1678
be the,1677
you wo,1675
was pretti,1675
the right,1673
wait for,1672
i wish,1671
so mani,1668
you like,1666
beer and,1664
us to,1662
a side,1660
with some,1659
we re,1658
reason price,1658
NOT_in NOT_the,1658
well worth,1655
perfect and,1654
was cook,1653
you ca,1651
a perfect,1651
a reserv,1650
atmospher and,1649
were a,1647
down the,1646
has been,1645
re in,1644
would recommend,1642
in all,1640
a big,1636
for an,1635
like it,1634
to sit,1630
amaz food,1630
let me,1626
what you,1625
excel servic,1621
NOT_it NOT_was,1618
i go,1615
can be,1615
super friend,1614
good but,1613
chicken and,1613
of food,1612
coupl of,1611
and help,1609
tabl and,1608
mexican food,1603
good time,1602
a group,1602
serv with,1601
to me,1599
wife and,1595
hard to,1593
NOT_want NOT_to,1589
definit a,1586
the main,1585
tri this,1584
both were,1582
restaur and,1581
get to,1578
are great,1576
and will,1575
vega for,1570
is just,1570
the last,1568
was one,1564
is also,1563
mac and,1558
the dish,1557
hang out,1557
the portion,1556
NOT_go NOT_back,1554
is good,1552
the wine,1552
were delici,1551
time here,1551
got to,1549
thing i,1548
cook to,1544
up the,1541
good as,1538
NOT_at NOT_all,1537
for you,1536
fun and,1532
we start,1531
the experi,1527
here i,1524
realli enjoy,1523
to share,1523
place the,1522
melt in,1521
your mouth,1520
was an,1520
in for,1520
an awesom,1518
it all,1517
of flavor,1516
the meat,1516
to it,1514
varieti of,1511
in this,1511
which were,1509
sweet and,1509
here the,1508
the end,1507
i come,1507
of them,1507
after a,1503
the rest,1498
NOT_have NOT_to,1497
cook perfect,1496
sea bass,1495
time the,1490
like to,1489
are so,1488
salad and,1484
to watch,1483
even better,1483
watch the,1480
out and,1479
do not,1479
we sat,1478
were seat,1478
when it,1478
the one,1475
our meal,1474
around the,1471
was nice,1470
foie gras,1468
with an,1467
and some,1466
strip and,1466
stop in,1463
bar in,1459
chees and,1456
awesom and,1454
type of,1454
did NOT_have,1450
and just,1450
full of,1449
came in,1449
with friend,1449
pork belli,1447
went here,1440
the shrimp,1438
to us,1438
great i,1437
forward to,1436
are amaz,1435
locat in,1434
and their,1434
look forward,1432
take a,1432
bit of,1428
than the,1427
favorit place,1427
bar is,1425
staff and,1425
a larg,1425
for it,1424
here on,1424
is definit,1421
was absolut,1420
go here,1420
made it,1418
front of,1416
is delici,1416
to give,1416
we tri,1412
becaus of,1411
dinner and,1408
the patio,1407
the sauc,1405
the dessert,1405
food great,1402
the beer,1402
friend staff,1394
servic i,1394
seem to,1393
sinc i,1390
this bar,1390
waiter was,1389
as you,1388
i enjoy,1388
the bread,1387
a fun,1385
us a,1384
make the,1384
up with,1383
say that,1382
about it,1381
a realli,1380
a special,1379
to start,1377
mash potato,1374
also have,1367
came to,1366
in it,1365
most of,1363
to enjoy,1361
get in,1361
you go,1360
chip and,1359
with our,1358
clean and,1358
and get,1354
pretti good,1350
we want,1345
place has,1344
made sure,1344
just the,1343
if we,1343
was friend,1343
me to,1342
away from,1341
the bellagio,1340
this one,1339
m a,1337
ton of,1333
danc floor,1331
burger i,1330
the waitress,1328
the pork,1325
restaur i,1324
servic the,1323
you to,1323
but you,1321
through the,1314
made the,1313
alway a,1312
realli nice,1311
perfect the,1309
love love,1306
this time,1305
thai food,1304
for some,1298
a new,1297
server and,1297
here again,1297
our first,1296
from a,1295
and good,1294
all i,1291
the venetian,1289
but that,1285
a bar,1285
fri and,1284
food we,1283
everyth is,1279
the qualiti,1275
by a,1268
be come,1267
in front,1266
the new,1265
to wait,1262
tender and,1260
we all,1260
all in,1258
it would,1254
the hostess,1253
wish i,1251
for this,1248
up and,1248
parti of,1247
we ll,1247
you need,1247
look like,1244
NOT_to NOT_be,1244
see the,1240
in our,1237
use to,1236
NOT_be NOT_disappoint,1236
definit go,1235
here with,1234
excel and,1233
and make,1233
perfect for,1232
the back,1231
you know,1231
live in,1230
my life,1230
becaus the,1229
and if,1227
sauc and,1227
there for,1227
back here,1226
our food,1225
make you,1224
as good,1224
so delici,1221
the outsid,1220
and flavor,1218
dure the,1217
the wall,1217
and tri,1216
like i,1216
rest of,1214
the front,1213
sure you,1213
NOT_the NOT_food,1213
meal i,1212
wait staff,1211
waitress was,1210
you could,1209
is pretti,1208
want a,1207
insid the,1207
even the,1207
was incred,1206
of wine,1206
are alway,1203
sinc it,1201
do NOT_know,1200
give you,1200
they did,1199
short rib,1198
it had,1198
could have,1196
like this,1194
the fish,1193
spot on,1193
NOT_go NOT_wrong,1192
bottl of,1192
the kitchen,1191
delici food,1190
we arriv,1188
music and,1188
our favorit,1188
vega we,1184
where you,1182
to visit,1182
the hous,1181
is to,1179
the palazzo,1179
i decid,1178
the door,1178
did not,1178
and everyth,1175
go for,1175
the line,1174
were in,1174
our drink,1173
tell you,1172
share the,1172
there and,1171
close to,1169
recommend it,1165
amaz we,1164
went with,1163
give it,1160
good servic,1159
is excel,1159
pricey but,1159
experi i,1158
on it,1156
filet mignon,1156
far the,1155
he s,1153
off with,1151
veri tasti,1151
sit at,1149
piec of,1148
on their,1147
the peopl,1146
my birthday,1146
food in,1146
NOT_for NOT_the,1145
my new,1145
just as,1145
come in,1145
sure we,1144
what we,1142
end of,1141
the bathroom,1141
also a,1139
back in,1139
and love,1138
the great,1136
to choos,1134
was outstand,1133
this world,1133
the crowd,1132
my girlfriend,1132
is super,1131
and is,1131
taco and,1131
of peopl,1130
the world,1130
with it,1126
with great,1126
a restaur,1123
well i,1123
bartend are,1117
new york,1117
best burger,1115
appet and,1113
decor is,1111
it did,1110
me a,1109
check it,1109
NOT_to NOT_the,1107
when the,1107
and did,1107
the middl,1106
NOT_it s,1105
everyth we,1103
great drink,1103
out with,1101
also the,1101
steak was,1100
i found,1098
so that,1098
beer select,1097
meal and,1095
is on,1092
s and,1092
NOT_to NOT_come,1091
time in,1091
saturday night,1090
for two,1090
on us,1089
we walk,1089
year and,1088
a tri,1086
was wonder,1085
a local,1085
with their,1082
NOT_have NOT_a,1081
glass of,1081
burger was,1080
that this,1080
it up,1079
it came,1079
so glad,1078
